figure,panel,reference_paper,doi,reference_figure,presentation_structure,study_data,data_source,interpretation
Figure 3,D,"Irwin et al., Journal of Chemical Information and Modeling (2018)",10.1021/acs.jcim.7b00316,Figure 3D,Joint presentation of SEA prediction strength and Tanimoto similarity for individual targets,"SEA z-scores plotted against reported Tanimoto coefficients for seven genes, with direct labels",Similarity Ensemble Approach results,Both native metrics are retained; no cross-method score or unreported threshold is introduced.
Figure 4,A,"Skuladottir et al., Communications Biology (2024)",10.1038/s42003-024-06207-4,Figure 2,Chromosome-ordered gene-association display with a nominal threshold and labeled genes,MAGMA P values for 97 autosomal predicted targets,Target-restricted MAGMA analysis,"This is a gene-based association plot, not a variant-level Manhattan plot."
Figure 4,B,"Skuladottir et al., Communications Biology (2024)",10.1038/s42003-024-06207-4,Figure 3,Gene-by-analysis matrix,"Eleven nominal MAGMA genes with prediction, published genetics, differential-expression and cell-type annotations","MAGMA, target prediction, published ET genetics and cerebellar expression data",The matrix displays distinct evidence sources without a composite score.
Figure 4,C,"Skuladottir et al., Communications Biology (2024)",10.1038/s42003-024-06207-4,Figure 3,"Locus-level gene bodies, association windows and leading variants","CA1, CA2 and CA3 at the chromosome 8 locus",MAGMA windows and the published ET GWAS,CA3 and CA2 share rs955007 in overlapping windows; conditional independence was not tested.
Figure 4,D,"Castonguay et al., Nature Genetics (2026)",10.1038/s41588-026-02544-8,Figure 6,Aligned cell-population statistical summary on a common scale,CA3 cis-eQTL P values across eight cerebellar cell types,SCP3177 cell-type cis-eQTL summary statistics,"Filled points denote Bonferroni P < 0.05 across 18,888 variant-cell-type tests; association does not establish mediation."
Figure 4,E,"Wallace, PLOS Genetics (2020)",10.1371/journal.pgen.1008720,Figure 5,Posterior-probability sensitivity curves across p12 with the default prior marked,CA3 PPH4 for Granule cells and Oligodendrocytes across four p12 values,CA3 ET-GWAS and cell-type cis-eQTL colocalization results,Default-prior PPH4 remained below 0.50 and the higher values were prior-sensitive.
Figure 5,A,"Castonguay et al., Nature Genetics (2026)",10.1038/s41588-026-02544-8,Figure 1A,Cell-type UMAP with compact labels placed within separated atlas clusters,"Official SCP3177 UMAP coordinates and cell-type labels for the 100,000-nucleus portal visualization subsample",Single Cell Portal study SCP3177,The embedding was obtained from the Single Cell Portal and is descriptive; it was not recomputed and is not an ET-versus-control separation analysis.
Figure 5,B,"Castonguay et al., Nature Genetics (2026)",10.1038/s41588-026-02544-8,Figure 1D,Cell-type dot plot using color for mean expression and size for the fraction expressing,Twelve selected genes across 13 SCP3177 cerebellar cell types,SCP3177 summary expression data,Expression is descriptive on the original summary scale; no ET-versus-control test was performed.
Figure 5,C,"Gutierrez-Arcelus et al., Nature Communications (2019)",10.1038/s41467-019-08604-4,Figure 2A,Sample-level principal-component scores with groups encoded by color and shape,DESeq2 rlog PCA of 40 GSE197345 Purkinje-cell samples using the 500 most variable genes,"GSE197345 raw counts; Martuscello et al., Cerebellum (2023), Figure 2 and Methods",The PCA displays sample-level transcriptome structure and is not presented as a significant case-control separation.
Figure 5,D,"Gutierrez-Arcelus et al., Nature Communications (2019)",10.1038/s41467-019-08604-4,Figure 2C,Row-scaled expression heatmap with a sample-group annotation strip,DESeq2 rlog z scores for the eight nominal Purkinje-cell target transcripts across 16 controls and 24 ET samples,"GSE197345 raw counts; Martuscello et al., Cerebellum (2023), Figure 1",Genes were selected by the prespecified target-restricted nominal P < 0.05 criterion; samples are ordered by condition and PC1.
Figure 5,E,"Castonguay et al., Nature Genetics (2026)",10.1038/s41588-026-02544-8,Figure 6C and 6E,Cell-population differential-expression display with labeled candidate transcripts,Independently expression-filtered GSE197345 Purkinje-cell target estimates,GSE197345,Sixty-two targets were testable and eight met nominal P < 0.05.
Figure 5,F,"Castonguay et al., Nature Genetics (2026)",10.1038/s41588-026-02544-8,Figure 6D and 6F,Compact aligned transcriptomic summary with a common statistical reference line,"mroast, fry and probability-weighted mroast results in whole cerebellum and Purkinje cells",GSE134878 and GSE197345 target-set rotation tests,The probability-weighted result is a sensitivity analysis and no common direction of change is asserted.
Figure 5,G,"Ning et al., Nature Communications (2023)",10.1038/s41467-023-42788-0,Figure 2E,Aligned gene-by-analysis dot matrix using size for significance and color for signed expression change,"Selected genes across MAGMA, whole cerebellum, Purkinje cells, CA3 cis-eQTL and highest-expression cell type","MAGMA, cerebellar expression and SCP3177 results",MAGMA gene P values are unsigned; expression color represents log2 fold change.
Supplementary Figure S1,A,"Dekkers et al., Nature Genetics (2026)",10.1038/s41588-026-02512-2,Extended Data Figure 8,SNP-specific forest plot,Wald-ratio estimates for 9 and 4 instruments,Microbial GWAS instruments,Variant-specific sensitivity display.
Supplementary Figure S1,B,"Wiberg et al., Nature Communications (2019)",10.1038/s41467-019-08993-6,Figure 3c-d,Funnel plots of single-variant estimates,Wald-ratio estimates and precision for two genera,Microbial MR harmonized instruments,Visual assessment of estimate symmetry.
Supplementary Figure S1,C,"Jurgens et al., Nature Genetics (2024)",10.1038/s41588-024-01975-5,Figure 4b,Multiple MR estimators on a common odds-ratio scale,Four estimators for six additional nonduplicate microbial instrument sets,Microbial MR estimator results,Nominal associations only.
Supplementary Figure S1,D,"Dekkers et al., Nature Genetics (2026)",10.1038/s41588-026-02512-2,Figure 3,Aligned estimates across taxonomic levels,"Class, order and family rows sharing one 10-SNP instrument set",MiBioGen taxonomic associations,The three rows represent one nonduplicate instrument set after exact duplicates were collapsed.
Supplementary Figure S2,A,"Redan et al., Journal of Agricultural and Food Chemistry (2020)",10.1021/acs.jafc.0c05890,Figure 1,Compound identity fields adjacent to chemical nomenclature,"CID, HMDB, ChEBI, formula, molecular mass and SMILES","PubChem, HMDB and ChEBI",Identifiers refer to the exact open-chain acid.
Supplementary Figure S2,B,"Redan et al., Journal of Agricultural and Food Chemistry (2020)",10.1021/acs.jafc.0c05890,Figure 1,Side-by-side chemical structure comparison,Open-chain acid and phenyl-γ-valerolactone,PubChem structures,The compounds are not interchangeable.
Supplementary Figure S2,C,"Daina et al., Nucleic Acids Research (2019)",10.1093/nar/gkz382,Figure 2,Complete probability-ranked target series,All 98 unique SwissTargetPrediction genes,SwissTargetPrediction results,Native probability values are retained.
Supplementary Figure S2,D,"Irwin et al., Journal of Chemical Information and Modeling (2018)",10.1021/acs.jcim.7b00316,Figure 3D,Complete target-level SEA display with similarity retained as a second metric,All seven SEA genes,Similarity Ensemble Approach results,Native z-scores and Tanimoto similarities are retained.
Supplementary Figure S2,E,"Qi et al., Nucleic Acids Research (2025)",10.1093/nar/gkae1002,Figure 1A-B,Gene-by-source membership matrix,The 105-gene union across SwissTargetPrediction and SEA with autosomal MAGMA coverage,Target-source membership and MAGMA coverage,"Symbols denote prediction-source membership or analysis coverage, not biological effect."
Supplementary Figure S3,A,"Dekkers et al., Nature Genetics (2026)",10.1038/s41588-026-02512-2,Extended Data Figure 5,Observed-versus-expected Q-Q plot,MAGMA P values for 97 autosomal predicted targets,Target-restricted MAGMA analysis,The selected target set is not a genome-wide calibration sample.
Supplementary Figure S3,B,"Karlsson Linnér et al., Nature Neuroscience (2021)",10.1038/s41593-021-00908-3,Extended Data Figure 4,Complete gene-association results arranged in aligned columns,MAGMA P values for all 97 autosomal predicted targets,Target-restricted MAGMA analysis,Nominal and BH-adjusted P-value thresholds are displayed separately.
Supplementary Figure S3,C,"Castonguay et al., Nature Genetics (2026)",10.1038/s41588-026-02544-8,Figure 6C and 6E,Cerebellar target-expression display with labeled candidate transcripts,Independently expression-filtered GSE134878 whole-cerebellum target estimates,GSE134878,Sixty-four predicted targets were testable and five met nominal P < 0.05.
Supplementary Figure S3,D,"Castonguay et al., Nature Genetics (2026)",10.1038/s41588-026-02544-8,Figure 6,Cross-analysis comparison of differential-expression estimates,Published and reanalyzed log2 fold changes for 36 Purkinje-cell genes,GSE197345 and the published 36-gene table,Thirty-five of 36 genes had BH-adjusted P < 0.05 in the reanalysis.
Supplementary Figure S3,E,"Gabitto et al., Nature Neuroscience (2024)",10.1038/s41593-024-01774-5,Figure 7h,Complete cell-type dot matrix using color and size for expression summaries,All 105 predicted genes across 13 SCP3177 cell types,SCP3177 summary expression data,The panel shows descriptive cell-type expression only.
