"id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval","gwas_accession","taxon_name","tier","sensitivity_model"
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I","Inverse variance weighted (multiplicative random effects)",2.1759066823838,3,0.536709581302359,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full"
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I","MR Egger",0.707384750500369,2,0.702090914680296,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full"
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii","Inverse variance weighted (multiplicative random effects)",1.651718921717,3,0.64772057440642,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full"
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii","MR Egger",1.44646343307894,2,0.485181749726109,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full"
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885","Inverse variance weighted (multiplicative random effects)",4.53565292995888,3,0.209132088769108,"GCST90670667","Faecalibacterium sp900539885","exploratory","full"
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885","MR Egger",3.93390711164942,2,0.139882351537166,"GCST90670667","Faecalibacterium sp900539885","exploratory","full"
"GCST90670780__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii F","Inverse variance weighted (multiplicative random effects)",0.244457405745548,1,0.621005115564192,"GCST90670780","Faecalibacterium prausnitzii F","exploratory","full"
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris","Inverse variance weighted (multiplicative random effects)",5.4962793069698,6,0.481906515145256,"GCST90671064","Flavonifractor avistercoris","exploratory","full"
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris","MR Egger",3.79742763572592,5,0.578934340919918,"GCST90671064","Flavonifractor avistercoris","exploratory","full"
"GCST90671065__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor intestinigallinarum","Inverse variance weighted (multiplicative random effects)",0.0683835047394731,1,0.793705099649907,"GCST90671065","Flavonifractor intestinigallinarum","exploratory","full"
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","Inverse variance weighted (multiplicative random effects)",8.03732918992738,6,0.235381214894493,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full"
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","MR Egger",5.05416575557512,5,0.409305584286414,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full"
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum","Inverse variance weighted (multiplicative random effects)",4.10686888278947,8,0.847354877481013,"GCST90671130","Faecalibacterium longum","exploratory","full"
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum","MR Egger",3.65156869900131,7,0.81892050785369,"GCST90671130","Faecalibacterium longum","exploratory","full"
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae","Inverse variance weighted (multiplicative random effects)",5.695818467922,5,0.336950931585037,"GCST90671133","Faecalibacterium duncaniae","exploratory","full"
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae","MR Egger",5.49457157455446,4,0.240207054758251,"GCST90671133","Faecalibacterium duncaniae","exploratory","full"
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii","Inverse variance weighted (multiplicative random effects)",1.89204555931789,2,0.388282240568115,"GCST90671143","Faecalibacterium hattorii","exploratory","full"
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii","MR Egger",0.373834818089102,1,0.540921348056117,"GCST90671143","Faecalibacterium hattorii","exploratory","full"
