gene_symbol,magma_entrez_id,magma_chr,magma_start_build37,magma_stop_build37,magma_nsnps,magma_nparam,magma_sample_size_constant,magma_zstat,magma_pvalue,magma_bh_adjusted_p,magma_nominal_p_lt_0_05,magma_bh_adjusted_p_lt_0_05,included_in_autosomal_magma
KIF11,3832,10.0,94317825.0,94425152.0,347.0,23.0,1952653.0,-0.035402,0.51412,0.8050259496489126,False,False,True
NR1H2,7376,19.0,50844680.0,50896285.0,94.0,8.0,1952653.0,-0.041257,0.51645,0.8062407191663821,False,False,True
ESRRB,2103,14.0,76802690.0,76978182.0,517.0,47.0,1952653.0,-0.096904,0.5386,0.8161849179920476,False,False,True
CA12,771,15.0,63605730.0,63709326.0,233.0,34.0,1952653.0,-0.10619,0.54228,0.817859613829524,False,False,True
PTGER1,5731,19.0,14573278.0,14621174.0,180.0,27.0,1952653.0,-0.2966,0.61661,0.8499053741137428,False,False,True
CDC25A,993,3.0,48188668.0,48265153.0,82.0,10.0,1952653.0,-0.3516,0.63743,0.8589117943994105,False,False,True
LTB4R,1241,14.0,24745705.0,24797242.0,115.0,13.0,1952653.0,-0.38409,0.64955,0.8637190474457865,False,False,True
SNCA,6622,4.0,90635250.0,90794447.0,446.0,23.0,1952653.0,-0.49905,0.69113,0.878846102296451,False,False,True
KDR,3791,4.0,55934426.0,56026762.0,234.0,25.0,1952653.0,-0.57177,0.71626,0.8873970425113566,False,False,True
SLC6A2,6530,16.0,55654542.0,55750104.0,243.0,36.0,1952653.0,-0.61399,0.73039,0.8923815864420377,False,False,True
CA6,765,1.0,8970893.0,9045151.0,226.0,39.0,1952653.0,-0.61804,0.73173,0.8927697058234941,False,False,True
SRC,6714,20.0,35938088.0,36043835.0,220.0,29.0,1952653.0,-0.65175,0.74272,0.8955841550224097,False,False,True
HTR1A,3350,5.0,63245875.0,63293119.0,88.0,13.0,1952653.0,-0.71199,0.76177,0.902548527523828,False,False,True
MMP13,4322,11.0,102803721.0,102861463.0,143.0,26.0,1952653.0,-0.72024,0.76431,0.9034372617892492,False,False,True
TDP1,55775,14.0,90386944.0,90521108.0,248.0,16.0,1952653.0,-0.81318,0.79194,0.915255326128176,False,False,True
ESR1,2099,6.0,151976631.0,152434409.0,1120.0,78.0,1952653.0,-0.82732,0.79597,0.917361072847682,False,False,True
SLC22A2,6582,6.0,160627794.0,160714963.0,352.0,19.0,1952653.0,-0.86586,0.80672,0.9212095088113984,False,False,True
AOX1,316,2.0,201415731.0,201546218.0,329.0,26.0,1952653.0,-0.8922,0.81386,0.9238779760203764,False,False,True
CDK1,983,10.0,62503089.0,62564610.0,187.0,18.0,1952653.0,-0.90574,0.81746,0.9244586796188592,False,False,True
PTGER2,5732,14.0,52746016.0,52805324.0,169.0,31.0,1952653.0,-0.91007,0.81861,0.9250176569167028,False,False,True
CNR2,1269,1.0,24187005.0,24320549.0,241.0,14.0,1952653.0,-1.1861,0.88222,0.9487291701977402,False,False,True
PTGS2,5743,1.0,186630944.0,186684559.0,158.0,12.0,1952653.0,-1.2216,0.88907,0.9516795038659792,False,False,True
ADRA2B,151,2.0,96768623.0,96817281.0,52.0,6.0,1952653.0,-1.3112,0.9051,0.95788532750333,False,False,True
CYP1A2,1544,15.0,75006184.0,75058941.0,63.0,8.0,1952653.0,-1.3458,0.91082,0.9598831455101218,False,False,True
ADRA2C,152,4.0,3733296.0,3780253.0,145.0,29.0,1952653.0,-1.4275,0.92328,0.9646138044596914,False,False,True
ALOX5,240,10.0,45834624.0,45951569.0,393.0,27.0,1952653.0,-1.5118,0.9347,0.969560235013624,False,False,True
ALOX12,239,17.0,6864384.0,6924055.0,142.0,13.0,1952653.0,-1.5445,0.93877,0.9712458504133168,False,False,True
DAB2IP,153090,9.0,124294162.0,124557809.0,527.0,64.0,1952653.0,-1.5634,0.94102,0.9717683633794858,False,False,True
PTGFR,5737,1.0,78921728.0,79016386.0,228.0,26.0,1952653.0,-1.8032,0.96432,0.9824934128798438,False,False,True
PTGES,9536,9.0,132490615.0,132550344.0,182.0,28.0,1952653.0,-2.1573,0.98451,0.9916189631793628,False,False,True
ADCY10,55811,1.0,167768357.0,167918608.0,383.0,43.0,1952653.0,-2.5536,0.99467,0.9967427973676996,False,False,True
AR,367,,,,,,,,,,False,False,False
HDAC6,10013,,,,,,,,,,False,False,False
HSD17B10,3028,,,,,,,,,,False,False,False
HTR2C,3358,,,,,,,,,,False,False,False
MAOA,4128,,,,,,,,,,False,False,False
MAOB,4129,,,,,,,,,,False,False,False
POLA1,5422,,,,,,,,,,False,False,False
STS,412,,,,,,,,,,False,False,False
