bac,method,nsnp,beta,se,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,method_status,method_status_zh
class.Bacilli.id.1673,Weighted mode,17,-0.0121214340793854,0.146297805508148,0.934994938652359,-0.298865132875356,0.274622264716585,0.987951734567987,0.741659428164781,1.3160334686921,OK,方法成功运行
class.Bacteroidia.id.912,Inverse variance weighted,10,0.00201180581352507,0.0948861572442321,0.983084270802905,-0.18396506238517,0.18798867401222,1.00201383085261,0.831964870187101,1.20681984684536,OK,方法成功运行
class.Bacteroidia.id.912,Weighted median,10,0.0865776084510144,0.132070421961554,0.512119342144862,-0.172280418593632,0.345435635495661,1.09043599148221,0.841743099654141,1.41260516659815,OK,方法成功运行
class.Bacteroidia.id.912,MR Egger,10,-0.217471245917341,0.211306627394149,0.333506423248758,-0.631632235609872,0.19668974377519,0.804550738705675,0.531723194781618,1.21736628664036,OK,方法成功运行
class.Bacteroidia.id.912,Weighted mode,10,0.160932462502191,0.18829786056236,0.414904774663603,-0.208131344200035,0.529996269204418,1.17460563620936,0.812100365033946,1.69892597026122,OK,方法成功运行
class.Betaproteobacteria.id.2867,Inverse variance weighted,12,0.0262506401323409,0.0904406071314443,0.771622839585478,-0.15101294984529,0.203514230109972,1.0265982229449,0.859836563836632,1.22570259939989,OK,方法成功运行
class.Betaproteobacteria.id.2867,Weighted median,12,0.0173536736292221,0.12335237110685,0.88811978629382,-0.224416973740203,0.259124320998647,1.01750512342516,0.798981910425831,1.29579488932943,OK,方法成功运行
class.Betaproteobacteria.id.2867,MR Egger,12,0.163866841686167,0.328181889830501,0.628357621107312,-0.479369662381615,0.80710334575395,1.17805743650627,0.619173557210675,2.24140599601786,OK,方法成功运行
class.Betaproteobacteria.id.2867,Weighted mode,12,-0.169301955155753,0.225850679612346,0.469213119865036,-0.611969287195952,0.273365376884446,0.844253938064562,0.542281908056206,1.31438040131637,OK,方法成功运行
class.Clostridia.id.1859,Inverse variance weighted,12,-0.0984196904373688,0.10774899342231,0.361023618759616,-0.309607717545096,0.112768336670359,0.906268471716393,0.733734731037633,1.11937258532885,OK,方法成功运行
class.Clostridia.id.1859,Weighted median,12,0.0258308068810236,0.113124231432167,0.819381793722716,-0.195892686726023,0.24755430048807,1.02616731333659,0.822100452235712,1.28088891338854,OK,方法成功运行
class.Clostridia.id.1859,MR Egger,12,0.200630102906751,0.24955550158071,0.440118745634253,-0.28849868019144,0.689758886004943,1.2221726101059,0.749387794195275,1.99323487847448,OK,方法成功运行
class.Clostridia.id.1859,Weighted mode,12,0.0450374519645749,0.130726987162951,0.736955254947634,-0.21118744287481,0.301262346803959,1.04606703644069,0.809622294726983,1.35156387349338,OK,方法成功运行
class.Coriobacteriia.id.809,Inverse variance weighted,13,0.153183044929044,0.0894633899327506,0.0868519336973105,-0.022165199339147,0.328531289197235,1.16553830529438,0.978078643758607,1.38892669804962,OK,方法成功运行
class.Coriobacteriia.id.809,Weighted median,13,0.185360636237332,0.125911294638879,0.140979681603512,-0.0614255012548706,0.432146773729534,1.20365244255243,0.940423003463439,1.54056121248288,OK,方法成功运行
class.Coriobacteriia.id.809,MR Egger,13,0.223336764542373,0.370785245315588,0.559163207237817,-0.50340231627618,0.950075845360926,1.2502415398688,0.604470557124644,2.58590578083557,OK,方法成功运行
class.Coriobacteriia.id.809,Weighted mode,13,0.383425587318112,0.214966637866317,0.0997686167093952,-0.0379090228998704,0.804760197536094,1.4673023624823,0.962800529707047,2.23616019779428,OK,方法成功运行
class.Deltaproteobacteria.id.3087,Inverse variance weighted,13,-0.133483840117755,0.0778600466886784,0.086453930632574,-0.286089531627564,0.0191218513920551,0.875041609432731,0.75119535719309,1.01930584488664,OK,方法成功运行
class.Deltaproteobacteria.id.3087,Weighted median,13,-0.116568233922867,0.106160343253998,0.272187308511713,-0.324642506700703,0.0915060388549683,0.889969368803575,0.722785698505086,1.09582339419111,OK,方法成功运行
class.Deltaproteobacteria.id.3087,MR Egger,13,-0.157457776458505,0.219425222710294,0.487968499308417,-0.58753121297068,0.272615660053671,0.854312884962492,0.555697491423368,1.31339535750556,OK,方法成功运行
class.Deltaproteobacteria.id.3087,Weighted mode,13,-0.215996540043203,0.173558359196986,0.237067512917292,-0.556170924069297,0.12417784398289,0.805738089687637,0.573400459559396,1.1322172111134,OK,方法成功运行
class.Erysipelotrichia.id.2147,Inverse variance weighted,12,0.162255514445726,0.143118353056373,0.256913849305855,-0.118256457544765,0.442767486436218,1.17616072898665,0.888468169029403,1.55701026624469,OK,方法成功运行
class.Erysipelotrichia.id.2147,Weighted median,12,0.267367740655619,0.14194520875034,0.0596193446162836,-0.010844868495048,0.545580349806286,1.30652081882149,0.989213725086774,1.7256095490024,OK,方法成功运行
class.Erysipelotrichia.id.2147,MR Egger,12,1.32739572541991,0.54019179710087,0.0338343382789217,0.268619803102204,2.38617164773762,3.77120932324827,1.30815768899241,10.8717931174712,OK,方法成功运行
class.Erysipelotrichia.id.2147,Weighted mode,12,0.357346269937725,0.224780673064915,0.14019726002634,-0.0832238492695091,0.797916389144958,1.42953078769818,0.920145150345113,2.22090859492169,OK,方法成功运行
class.Gammaproteobacteria.id.3303,Inverse variance weighted,6,0.0538305543715887,0.123185694286632,0.662120732504613,-0.187613406430211,0.295274515173388,1.05530577005498,0.828935106278445,1.34349511786419,OK,方法成功运行
class.Gammaproteobacteria.id.3303,Weighted median,6,0.158593009887637,0.154993212899728,0.306201232367729,-0.14519368739583,0.462379707171105,1.17186091380849,0.864854765419979,1.58784810608657,OK,方法成功运行
class.Gammaproteobacteria.id.3303,MR Egger,6,0.0813854562169102,0.422090250654394,0.856497773782098,-0.745911435065702,0.908682347499522,1.08478895463664,0.474301807576348,2.48105121529025,OK,方法成功运行
class.Gammaproteobacteria.id.3303,Weighted mode,6,0.177392672996144,0.192768271973815,0.399670316003075,-0.200433140072533,0.555218486064821,1.19409989186105,0.818376204770292,1.7423216161848,OK,方法成功运行
class.Lentisphaeria.id.2250,Inverse variance weighted,8,-0.0503853820813058,0.0584753108301809,0.388878919218424,-0.16499699130846,0.0642262271458488,0.950862908354214,0.847896255142368,1.06633360508477,OK,方法成功运行
class.Lentisphaeria.id.2250,Weighted median,8,-0.032482637869937,0.0719600217812333,0.651702444559783,-0.173524280561154,0.10855900482128,0.968039256908887,0.840696738325498,1.11467067754209,OK,方法成功运行
class.Lentisphaeria.id.2250,MR Egger,8,0.145542502426121,0.202108702080323,0.498531468276297,-0.250590553651312,0.541675558503554,1.15666689468671,0.778340995203383,1.71888454226236,OK,方法成功运行
class.Lentisphaeria.id.2250,Weighted mode,8,0.0757989767660502,0.134851426000923,0.591588320703342,-0.18850981819576,0.34010777172786,1.07874569941048,0.828192372043889,1.40509901235233,OK,方法成功运行
class.Melainabacteria.id.1589,Inverse variance weighted,8,0.0224374287123193,0.101057398561066,0.824293190864843,-0.175635072467371,0.220509929892009,1.02269104106706,0.838924073975606,1.24671230439531,OK,方法成功运行
class.Melainabacteria.id.1589,Weighted median,8,0.0372657549926498,0.0956905432013978,0.696950456429923,-0.15028770968209,0.224819219667389,1.03796882958644,0.860460378026725,1.25209634133737,OK,方法成功运行
class.Melainabacteria.id.1589,MR Egger,8,0.0768362011185313,0.334048682175132,0.825721438658232,-0.577899215944727,0.73157161818179,1.07986518119656,0.561075828490034,2.07834440613653,OK,方法成功运行
class.Melainabacteria.id.1589,Weighted mode,8,0.043707001355499,0.128828067727612,0.744360071529644,-0.208796011390621,0.296210014101619,1.04467622132548,0.811560767911962,1.34475254417582,OK,方法成功运行
class.Methanobacteria.id.119,Inverse variance weighted,10,-0.0923043087946192,0.0442411247025466,0.0369431696843185,-0.179016913211611,-0.0055917043776279,0.911827630154404,0.836091758280617,0.994423900102534,OK,方法成功运行
class.Methanobacteria.id.119,Weighted median,10,-0.11157963028026,0.0559869694217866,0.0462661408669336,-0.221314090346961,-0.00184517021355776,0.894420165638982,0.801464908361554,0.998156531066456,OK,方法成功运行
class.Methanobacteria.id.119,MR Egger,10,-0.264924226914355,0.185217091972007,0.190491724919378,-0.627949727179488,0.0981012733507783,0.767264085740546,0.533684879672762,1.10307449150188,OK,方法成功运行
class.Methanobacteria.id.119,Weighted mode,10,-0.148006145684269,0.0995209436715828,0.17113725930587,-0.343067195280571,0.0470549039120337,0.862425814728996,0.709590528823525,1.04817955665802,OK,方法成功运行
class.Mollicutes.id.3920,Inverse variance weighted,11,-0.0285208282805757,0.0739857057742804,0.699873627390812,-0.173532811598165,0.116491155037014,0.971882051303275,0.8406895663411,1.12354757268656,OK,方法成功运行
class.Mollicutes.id.3920,Weighted median,11,0.0148362984299908,0.102029400301056,0.884385596355673,-0.185141326160079,0.214813923020061,1.01494690261417,0.83098683537453,1.23963120867229,OK,方法成功运行
class.Mollicutes.id.3920,MR Egger,11,-0.306739921810375,0.226682692632713,0.209010182250706,-0.751037999370493,0.137558155749743,0.735841952465839,0.471876490942548,1.14746843591889,OK,方法成功运行
class.Mollicutes.id.3920,Weighted mode,11,0.0666766842292089,0.169436441747191,0.702194888864939,-0.265418741595286,0.398772110053704,1.06894981396523,0.766884756185744,1.48999402525552,OK,方法成功运行
class.Negativicutes.id.2164,Inverse variance weighted,12,-0.0327370916807858,0.0886629001849609,0.711955547964105,-0.206516376043309,0.141042192681738,0.967792966966951,0.813412940862344,1.15147323070337,OK,方法成功运行
class.Negativicutes.id.2164,Weighted median,12,-0.0590439683350776,0.113940545386623,0.604318871227749,-0.282367437292858,0.164279500622703,0.942665320821207,0.753996587163441,1.17854367275316,OK,方法成功运行
class.Negativicutes.id.2164,MR Egger,12,0.151158845792028,0.282112121970154,0.60380128346992,-0.401780913269474,0.70409860485353,1.16318140988023,0.66912732655108,2.02202322129746,OK,方法成功运行
class.Negativicutes.id.2164,Weighted mode,12,-0.0451840154400066,0.170666726293677,0.796097284636828,-0.379690798975613,0.2893227680956,0.955821579720684,0.684072892554371,1.33552272309508,OK,方法成功运行
class.Verrucomicrobiae.id.4029,Inverse variance weighted,10,-0.0393915018061991,0.0831765379672392,0.635792949370936,-0.202417516221988,0.12363451260959,0.961374255702533,0.816753848762917,1.13160220907129,OK,方法成功运行
class.Verrucomicrobiae.id.4029,Weighted median,10,-0.086808687174639,0.114230204822409,0.44728738737037,-0.310699888626561,0.137082514277283,0.916852484494796,0.732933804636869,1.1469227821205,OK,方法成功运行
class.Verrucomicrobiae.id.4029,MR Egger,10,-0.300698522149934,0.285263854311394,0.322626700628811,-0.859815676600267,0.258418632300398,0.740300923438322,0.423240088180332,1.29488078409558,OK,方法成功运行
class.Verrucomicrobiae.id.4029,Weighted mode,10,-0.191224711852421,0.198813721845068,0.361263533188882,-0.580899606668754,0.198450182963912,0.825946967223358,0.559394904753771,1.21951127346385,OK,方法成功运行
family.Acidaminococcaceae.id.2166,Inverse variance weighted,7,-0.052842071219666,0.0920325665830891,0.565854735078424,-0.233225901722521,0.127541759283189,0.948529800808595,0.79197464487846,1.13603230714547,OK,方法成功运行
family.Acidaminococcaceae.id.2166,Weighted median,7,-0.0527516964730128,0.123366402205674,0.668941050333456,-0.294549844796135,0.189046451850109,0.948615527822757,0.744866817681601,1.20809706952351,OK,方法成功运行
family.Acidaminococcaceae.id.2166,MR Egger,7,-0.355053591175927,0.280778603852167,0.261776849066729,-0.905379654726174,0.195272472374321,0.701135867506094,0.404388328015586,1.21564217027693,OK,方法成功运行
family.Acidaminococcaceae.id.2166,Weighted mode,7,0.0934817675304327,0.191004850842199,0.641920476692219,-0.280887740120277,0.467851275181142,1.09799058407889,0.755113099628054,1.59655993694155,OK,方法成功运行
family.Actinomycetaceae.id.421,Inverse variance weighted,3,-0.161683971556391,0.146578212041016,0.27000286089243,-0.448977267156783,0.125609324044,0.850710010623431,0.638280608461845,1.13383911806273,OK,方法成功运行
family.Actinomycetaceae.id.421,Weighted median,3,-0.166902829922796,0.163962881435193,0.308710950925082,-0.488270077535774,0.154464417690182,0.8462818406138,0.613687107557312,1.16703275159776,OK,方法成功运行
family.Actinomycetaceae.id.421,MR Egger,3,-0.371927215782576,0.634857481902911,0.662626296412798,-1.61624788031228,0.872393448747129,0.689404418459279,0.198642633481287,2.39263064459901,OK,方法成功运行
family.Actinomycetaceae.id.421,Weighted mode,3,-0.170939330369161,0.179120407073142,0.440634972851886,-0.522015328232519,0.180136667494198,0.842872708696508,0.593323600451243,1.19738099500016,OK,方法成功运行
family.Alcaligenaceae.id.2875,Inverse variance weighted,12,0.0887775378412289,0.090347427498735,0.325792597415446,-0.0883034200562916,0.265858495738749,1.09283751428977,0.915483058656479,1.30455044617836,OK,方法成功运行
family.Alcaligenaceae.id.2875,Weighted median,12,0.0217639279515267,0.125835755490439,0.86268676890577,-0.224874152809734,0.268402008712787,1.02200248976879,0.798616716105412,1.30787281061086,OK,方法成功运行
family.Alcaligenaceae.id.2875,MR Egger,12,-0.750345670590776,0.406454600762269,0.0946520636095423,-1.54699668808482,0.0463053469032703,0.472203297733519,0.2128863788804,1.04739418070368,OK,方法成功运行
family.Alcaligenaceae.id.2875,Weighted mode,12,-0.158104336448936,0.232338180423278,0.510262234587636,-0.613487170078561,0.297278497180689,0.85376069896169,0.541459412014667,1.34619015741074,OK,方法成功运行
family.Bacteroidaceae.id.917,Inverse variance weighted,8,-0.116131359199182,0.137596649852198,0.398670271753618,-0.38582079290949,0.153558074511127,0.890358258867594,0.679892356294571,1.16597549861301,OK,方法成功运行
family.Bacteroidaceae.id.917,Weighted median,8,-0.109747768155869,0.159607517876303,0.491698240334198,-0.422578503193423,0.203082966881686,0.896060121691795,0.655354804862386,1.22517411290654,OK,方法成功运行
family.Bacteroidaceae.id.917,MR Egger,8,-1.49532541090875,0.561551117264997,0.037381620310602,-2.59596560074814,-0.394685221069352,0.224175643660093,0.0745738327487947,0.673892132910778,OK,方法成功运行
family.Bacteroidaceae.id.917,Weighted mode,8,-0.401551243428637,0.316815872313416,0.24552407047006,-1.02251035316293,0.219407866305659,0.669281022566662,0.359690854786068,1.24533910497751,OK,方法成功运行
family.BacteroidalesS24.7group.id.11173,Inverse variance weighted,8,-0.0927074329140841,0.0716588424468147,0.195757548209886,-0.233158764109841,0.0477438982816727,0.911460124524062,0.792027817950356,1.04890199532044,OK,方法成功运行
family.BacteroidalesS24.7group.id.11173,Weighted median,8,-0.0283505748842903,0.0880767497141312,0.747539900612509,-0.200981004323988,0.144279854555407,0.97204753160969,0.817927968500983,1.15520735333231,OK,方法成功运行
family.BacteroidalesS24.7group.id.11173,MR Egger,8,-0.299856821540582,0.30413909603659,0.362245659869115,-0.895969449772299,0.296255806691134,0.740924297487039,0.408211666046778,1.34481412528704,OK,方法成功运行
family.BacteroidalesS24.7group.id.11173,Weighted mode,8,-0.00852576990520848,0.139790691957104,0.953072343717952,-0.282515526141133,0.265463986330716,0.991510471402878,0.753884936944525,1.30403589025933,OK,方法成功运行
family.Bifidobacteriaceae.id.433,Inverse variance weighted,9,0.0955377547097695,0.102319967655922,0.350450592011495,-0.105009381895837,0.296084891315376,1.10025036088284,0.900316075874998,1.34458429551677,OK,方法成功运行
family.Bifidobacteriaceae.id.433,Weighted median,9,0.0794660706521527,0.132761621271581,0.549464956956998,-0.180746707040146,0.339678848344451,1.08270882330194,0.834646742067431,1.40449646176318,OK,方法成功运行
family.Bifidobacteriaceae.id.433,MR Egger,9,0.373734684461518,0.568419458465659,0.531877616177899,-0.740367454131173,1.48783682305421,1.45315155561949,0.476938630248357,4.42750767011625,OK,方法成功运行
family.Bifidobacteriaceae.id.433,Weighted mode,9,0.0719157425219975,0.19843761636317,0.7264330720623,-0.317021985549815,0.46085347059381,1.07456480012936,0.728314742549626,1.58542652265255,OK,方法成功运行
family.Christensenellaceae.id.1866,Inverse variance weighted,10,-0.207478996517339,0.124031565079635,0.0943682714235931,-0.450580864073425,0.0356228710387463,0.812630309660473,0.637257883884316,1.03626496725893,OK,方法成功运行
family.Christensenellaceae.id.1866,Weighted median,10,-0.0691142841966106,0.122199964918249,0.571676945102945,-0.308626215436379,0.170397647043157,0.933220021683194,0.734455246759394,1.18577627801424,OK,方法成功运行
family.Christensenellaceae.id.1866,MR Egger,10,0.0414269549910494,0.272525601561783,0.882941754567631,-0.492723224070045,0.575577134052144,1.0422970244753,0.610960344784354,1.77815646547979,OK,方法成功运行
family.Christensenellaceae.id.1866,Weighted mode,10,-0.0122089370475809,0.146880798539758,0.935574415705298,-0.300095302185507,0.275677428090345,0.987865289640927,0.74074762245036,1.31742283188057,OK,方法成功运行
family.Clostridiaceae1.id.1869,Inverse variance weighted,10,-0.116101488765501,0.132394321575345,0.380520818614125,-0.375594359053178,0.143391381522175,0.890384854652129,0.686880903558751,1.15418143856737,OK,方法成功运行
family.Clostridiaceae1.id.1869,Weighted median,10,-0.16063397678459,0.131848261626183,0.223100656355628,-0.41905656957191,0.0977886160027291,0.851603720800302,0.657666990275392,1.10272966106636,OK,方法成功运行
family.Clostridiaceae1.id.1869,MR Egger,10,-0.405070884781279,0.380372836829788,0.317990227767488,-1.15060164496766,0.340459875405106,0.666929534028742,0.316446323756249,1.40559383999168,OK,方法成功运行
family.Clostridiaceae1.id.1869,Weighted mode,10,-0.250255262183124,0.177022142767176,0.191094810310347,-0.59721866200679,0.0967081376405412,0.778602010053996,0.550340191477804,1.10153882897824,OK,方法成功运行
family.ClostridialesvadinBB60group.id.11286,Inverse variance weighted,14,-0.0752983274082001,0.0638349317475525,0.238167808635655,-0.200414793633403,0.0498181388170028,0.927466756298931,0.818391219197248,1.05107992835433,OK,方法成功运行
family.ClostridialesvadinBB60group.id.11286,Weighted median,14,-0.0925296385952403,0.0876212959559726,0.290960132697016,-0.264267378668947,0.079208101478466,0.91162219136291,0.767768227363174,1.08242955382446,OK,方法成功运行
family.ClostridialesvadinBB60group.id.11286,MR Egger,14,-0.113243649865488,0.187137394652078,0.556359382206955,-0.480032943383562,0.253545643652585,0.892933070586724,0.618763007323292,1.28858619392359,OK,方法成功运行
family.ClostridialesvadinBB60group.id.11286,Weighted mode,14,-0.0493296171704845,0.153928851284518,0.753704837704768,-0.35103016568814,0.252370931347171,0.951867326169102,0.703962518021545,1.28707336460858,OK,方法成功运行
family.Coriobacteriaceae.id.811,Inverse variance weighted,13,0.153183044929044,0.0894633899327506,0.0868519336973105,-0.022165199339147,0.328531289197235,1.16553830529438,0.978078643758607,1.38892669804962,OK,方法成功运行
family.Coriobacteriaceae.id.811,Weighted median,13,0.185360636237332,0.122957833495022,0.131678997983898,-0.0556367174129115,0.426357989887575,1.20365244255243,0.945882696194836,1.53166899901085,OK,方法成功运行
family.Coriobacteriaceae.id.811,MR Egger,13,0.223336764542373,0.370785245315588,0.559163207237817,-0.50340231627618,0.950075845360926,1.2502415398688,0.604470557124644,2.58590578083557,OK,方法成功运行
family.Coriobacteriaceae.id.811,Weighted mode,13,0.383425587318112,0.227261167487635,0.117371723603397,-0.0620063009576526,0.828857475593876,1.4673023624823,0.939876964647478,2.29070006386812,OK,方法成功运行
family.Defluviitaleaceae.id.1924,Inverse variance weighted,11,0.0429642501996884,0.0661248423900732,0.515857298192615,-0.0866404408848551,0.172568941284232,1.04390057494643,0.917006754500906,1.18835374442425,OK,方法成功运行
family.Defluviitaleaceae.id.1924,Weighted median,11,-0.0364149010469966,0.0899408350432408,0.685568533779293,-0.212698937731749,0.139869135637755,0.964240146231879,0.808399479164962,1.1501232788592,OK,方法成功运行
family.Defluviitaleaceae.id.1924,MR Egger,11,-0.0901664008933909,0.225449207654948,0.698525957706511,-0.532046847897088,0.351714046110307,0.913779118957837,0.587401416998788,1.42150198157436,OK,方法成功运行
family.Defluviitaleaceae.id.1924,Weighted mode,11,-0.0483908320178416,0.147290543605665,0.749279693679758,-0.337080297484944,0.240298633449261,0.952761344662179,0.713851517119865,1.27162884453191,OK,方法成功运行
family.Desulfovibrionaceae.id.3169,Inverse variance weighted,10,-0.135373814947174,0.0908457864071449,0.136184897234392,-0.313431556305178,0.0426839264108299,0.873389364658544,0.730934405142958,1.04360798579383,OK,方法成功运行
family.Desulfovibrionaceae.id.3169,Weighted median,10,-0.139756686419141,0.12532775493897,0.264794898391674,-0.385399086099521,0.105885713261239,0.869569787799852,0.68017913199465,1.11169481727091,OK,方法成功运行
family.Desulfovibrionaceae.id.3169,MR Egger,10,-0.110606073116695,0.244606249578764,0.663148188742704,-0.590034322291072,0.368822176057682,0.895291358807841,0.554308259278592,1.44603044197676,OK,方法成功运行
family.Desulfovibrionaceae.id.3169,Weighted mode,10,-0.203860476016935,0.17700724078874,0.27911680503349,-0.550794667962865,0.143073715928995,0.815576155683009,0.576491508972837,1.15381485306493,OK,方法成功运行
family.Enterobacteriaceae.id.3469,Inverse variance weighted,6,-0.00980363483140021,0.1164560336888,0.932910821268751,-0.238057460861447,0.218450191198647,0.990244264140748,0.788157401589345,1.24414704561078,OK,方法成功运行
family.Enterobacteriaceae.id.3469,Weighted median,6,0.00451089120535697,0.14239706380989,0.974728632220442,-0.274587353862028,0.283609136272742,1.0045210805904,0.759885622405793,1.32791379596816,OK,方法成功运行
family.Enterobacteriaceae.id.3469,MR Egger,6,1.0174509903327,0.728687413002565,0.23513266371253,-0.410776339152325,2.44567831981773,2.76613486539911,0.66313523240377,11.5383736524463,OK,方法成功运行
family.Enterobacteriaceae.id.3469,Weighted mode,6,0.0107333099920848,0.252154052018434,0.967694666115701,-0.483488631964046,0.504955251948216,1.01079111860457,0.616628445379731,1.65691137524592,OK,方法成功运行
family.Erysipelotrichaceae.id.2149,Inverse variance weighted,12,0.162255514445726,0.143118353056373,0.256913849305855,-0.118256457544765,0.442767486436218,1.17616072898665,0.888468169029403,1.55701026624469,OK,方法成功运行
family.Erysipelotrichaceae.id.2149,Weighted median,12,0.267367740655619,0.139524960756471,0.055330514800426,-0.00610118242706431,0.540836663738302,1.30652081882149,0.993917391991935,1.71744318367639,OK,方法成功运行
family.Erysipelotrichaceae.id.2149,MR Egger,12,1.32739572541991,0.54019179710087,0.0338343382789217,0.268619803102204,2.38617164773762,3.77120932324827,1.30815768899241,10.8717931174712,OK,方法成功运行
family.Erysipelotrichaceae.id.2149,Weighted mode,12,0.357346269937725,0.232430625126349,0.15243982338469,-0.0982177553099201,0.812910295185369,1.42953078769818,0.906451497634791,2.25445959139484,OK,方法成功运行
family.FamilyXI.id.1936,Inverse variance weighted,7,0.0727740620903909,0.0508523960516888,0.15240607612653,-0.0268966341709191,0.172444758351701,1.07548751606074,0.973461859016178,1.18820618033405,OK,方法成功运行
family.FamilyXI.id.1936,Weighted median,7,0.0971737746143349,0.0672102019072939,0.148228026848746,-0.0345582211239613,0.228905770352631,1.10205186562023,0.966032094574852,1.25722356569482,OK,方法成功运行
family.FamilyXI.id.1936,MR Egger,7,0.357920483814905,0.340384148302438,0.341161512318281,-0.309232446857874,1.02507341448768,1.43035187983302,0.734010131846082,2.78730008126218,OK,方法成功运行
family.FamilyXI.id.1936,Weighted mode,7,0.12635614034969,0.0982992826526866,0.246027216513721,-0.0663104536495755,0.319022734348956,1.1346862038735,0.935840284156485,1.37578260207227,OK,方法成功运行
family.FamilyXIII.id.1957,Inverse variance weighted,8,0.117959109593907,0.12262212155668,0.336063414848424,-0.122380248657186,0.358298467844999,1.12519810061938,0.884811856007361,1.43089263219245,OK,方法成功运行
family.FamilyXIII.id.1957,Weighted median,8,0.140825783961667,0.145784796834632,0.334052177793156,-0.144912417834211,0.426563985757545,1.1512240688167,0.86509805695436,1.53198454899869,OK,方法成功运行
family.FamilyXIII.id.1957,MR Egger,8,0.652425896876054,0.366450767364534,0.125308686726342,-0.065817607158433,1.37066940091054,1.92019337454311,0.936301623432185,3.93798590471665,OK,方法成功运行
family.FamilyXIII.id.1957,Weighted mode,8,0.193923378385696,0.21354364140512,0.394003497290647,-0.224622158768339,0.612468915539731,1.21400326050292,0.798817988117837,1.84498088229621,OK,方法成功运行
family.Lachnospiraceae.id.1987,Inverse variance weighted,16,-0.013419575984723,0.101012213633189,0.894311200903205,-0.211403514705773,0.184564362736327,0.986670065095305,0.809447377053444,1.20269438749555,OK,方法成功运行
family.Lachnospiraceae.id.1987,Weighted median,16,-0.0406108571316877,0.104426242329713,0.697353724540475,-0.245286292097926,0.164064577834551,0.960202713292449,0.782480488190969,1.17829040407863,OK,方法成功运行
family.Lachnospiraceae.id.1987,MR Egger,16,-0.0890379662543595,0.260334255946097,0.737420224615249,-0.599293107908709,0.42121717539999,0.914810840974044,0.549199723851113,1.52381517764658,OK,方法成功运行
family.Lachnospiraceae.id.1987,Weighted mode,16,-0.013054352965429,0.137153193249663,0.925431106005869,-0.281874611734768,0.25576590580391,0.987030485528439,0.754368267531578,1.29145037151463,OK,方法成功运行
family.Lactobacillaceae.id.1836,Inverse variance weighted,7,0.055056502535554,0.132192747867226,0.677054001600934,-0.204041283284209,0.314154288355316,1.05660031358569,0.815428706917352,1.36910095658741,OK,方法成功运行
family.Lactobacillaceae.id.1836,Weighted median,7,0.00597507663142677,0.101398048494826,0.953010301007245,-0.192765098418431,0.204715251681285,1.00599296300821,0.824675669007533,1.22717557902488,OK,方法成功运行
family.Lactobacillaceae.id.1836,MR Egger,7,-0.270325794812186,0.386277422599744,0.515250514565855,-1.02742954310769,0.486777953483313,0.763130829766882,0.35792581199962,1.62706528508569,OK,方法成功运行
